Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,Master_Swing,Candle No.,Slope,Price Delta,H-L,H-C,L-C,TR,ATR,Impluse Strength,Intermediate_Swing,ISL_Price,ISH_Price,ISH_Price_Ffill,ISL_Price_Ffill,Breaker_Signal,Bearish BOS,Bullish BOS,ISL Sweep,ISH Sweep,ISL Sweep Strength,ISH Sweep Strength,ISL_Sweep+BOS,ISH_Sweep+BOS,FVG_Bullish,FVG_Bearish,FVG_Bullish_Strength,FVG_Bearish_Strength,Swing_Low_value,Proximity_to_ISL
2026-03-30 15:15:00+05:30,455.1000061035156,457.29998779296875,450.70001220703125,452.95001220703125,1970022,0.0,0.0,Swing Low,109,Sell Slope,6.76666259765625,6.5999755859375,2.29998779296875,-4.29998779296875,6.5999755859375,7.921430315290179,0.7714433118815719,Intermediate Swing Low,450.70001220703125,,497.6000061035156,450.70001220703125,False,False,False,False,False,,,False,False,True,False,0.8331797823428468,,450.70001220703125,False
2026-04-01 09:15:00+05:30,475.0,484.5,473.04998779296875,482.1000061035156,0,0.0,0.0,,108,,,11.45001220703125,31.54998779296875,20.0999755859375,31.54998779296875,10.414284842354911,,,,,497.6000061035156,450.70001220703125,,,,False,False,,,False,False,True,False,1.0994525673490352,,,False
2026-04-01 10:15:00+05:30,482.1000061035156,505.8999938964844,478.3500061035156,498.3999938964844,6105851,0.0,0.0,Swing High,107,Buy Slope,3.29998779296875,27.54998779296875,23.79998779296875,-3.75,27.54998779296875,13.464285714285714,0.4165898911714234,,,,497.6000061035156,450.70001220703125,False,False,True,False,True,,2.0461529395308355,False,True,True,False,2.0461529395308355,,,False
2026-04-01 11:15:00+05:30,498.70001220703125,500.5,492.5,499.25,3632052,0.0,0.0,,106,,,8.0,2.100006103515625,-5.899993896484375,8.0,13.849997384207589,,,,,497.6000061035156,450.70001220703125,,,,False,False,,,False,False,False,False,,,,False
2026-04-01 12:15:00+05:30,498.95001220703125,510.6000061035156,498.0,510.1499938964844,4881133,0.0,0.0,Swing High,105,,,12.600006103515625,11.350006103515625,-1.25,12.600006103515625,14.457140241350446,,Intermediate Swing High,,510.6000061035156,510.6000061035156,450.70001220703125,False,False,True,False,False,,,False,True,False,False,,,,False
2026-04-01 13:15:00+05:30,510.04998779296875,510.29998779296875,498.70001220703125,505.25,5126969,0.0,0.0,,104,,,11.5999755859375,0.149993896484375,-11.449981689453125,11.5999755859375,15.049992152622767,,,,,510.6000061035156,450.70001220703125,,,,False,False,,,False,False,False,False,,,,False
2026-04-01 14:15:00+05:30,505.1000061035156,505.5,492.8500061035156,496.1000061035156,4483705,0.0,0.0,Swing Low,103,Sell Slope,8.875,12.649993896484375,0.25,-12.399993896484375,12.649993896484375,15.7928466796875,0.6138835102820434,,,,510.6000061035156,450.70001220703125,False,False,False,False,False,,,False,False,False,False,,,492.8500061035156,False
2026-04-01 15:15:00+05:30,496.54998779296875,498.70001220703125,493.70001220703125,493.70001220703125,1483149,0.0,0.0,,102,,,5.0,2.600006103515625,-2.399993896484375,5.0,15.564278738839286,,,,,510.6000061035156,450.70001220703125,,,,False,False,,,False,False,False,True,,0.32124842300099266,,False
2026-04-02 09:15:00+05:30,479.70001220703125,484.54998779296875,470.3999938964844,474.0,0,0.0,0.0,,101,,,14.149993896484375,-9.1500244140625,-23.300018310546875,14.149993896484375,13.078565325055804,,,,,510.6000061035156,450.70001220703125,,,,False,False,,,False,False,False,True,,1.0819224849820444,,False
2026-04-02 10:15:00+05:30,474.20001220703125,475.54998779296875,470.04998779296875,471.29998779296875,1603416,0.0,0.0,,100,,,5.5,1.54998779296875,-3.95001220703125,5.5,9.928567068917411,,,,,510.6000061035156,450.70001220703125,,,,False,False,,,False,False,False,False,,,,False
2026-04-02 11:15:00+05:30,471.20001220703125,477.8999938964844,468.20001220703125,476.95001220703125,2206456,0.0,0.0,Swing Low,99,,,9.699981689453125,6.600006103515625,-3.0999755859375,9.699981689453125,10.171421595982142,,Intermediate Swing Low,468.20001220703125,,510.6000061035156,468.20001220703125,False,False,False,False,False,,,False,False,True,False,0.9536505392013991,,468.20001220703125,False
2026-04-02 12:15:00+05:30,476.75,487.3999938964844,476.29998779296875,485.8999938964844,2052117,0.0,0.0,,98,,,11.100006103515625,10.449981689453125,-0.6500244140625,11.100006103515625,9.957135881696429,,,,,510.6000061035156,468.20001220703125,,,,False,False,,,False,False,True,False,1.114779012298111,,,False
2026-04-02 13:15:00+05:30,485.8999938964844,498.8999938964844,484.0,495.70001220703125,3152014,0.0,0.0,,97,,,14.899993896484375,13.0,-1.899993896484375,14.899993896484375,10.428567068917411,,,,,510.6000061035156,468.20001220703125,,,,False,False,,,False,False,True,False,1.4287671353137437,,,False
2026-04-02 14:15:00+05:30,495.79998779296875,499.0,489.3999938964844,495.04998779296875,3277009,0.0,0.0,Swing High,96,Buy Slope,3.2333272298177085,9.600006103515625,3.29998779296875,-6.300018310546875,9.600006103515625,9.992854527064733,0.31788351306713303,,,,510.6000061035156,468.20001220703125,False,False,False,False,False,,,False,False,False,False,,,,False
2026-04-02 15:15:00+05:30,495.1499938964844,497.0,492.54998779296875,492.95001220703125,914786,0.0,0.0,,95,,,4.45001220703125,1.95001220703125,-2.5,4.45001220703125,9.914284842354911,,,,,510.6000061035156,468.20001220703125,,,,False,False,,,False,False,False,False,,,,False
2026-04-06 09:15:00+05:30,493.0,507.0,483.6499938964844,502.70001220703125,0,0.0,0.0,Swing High,94,,,23.350006103515625,14.04998779296875,-9.300018310546875,23.350006103515625,11.228572300502233,,Intermediate Swing High,,507.0,507.0,468.20001220703125,False,False,False,False,False,,,False,False,False,False,,,,False
2026-04-06 10:15:00+05:30,502.70001220703125,503.8999938964844,495.5,496.79998779296875,1600062,0.0,0.0,,93,,,8.399993896484375,1.199981689453125,-7.20001220703125,8.399993896484375,11.642857142857142,,,,,507.0,468.20001220703125,,,,False,False,,,False,False,False,False,,,,False
2026-04-06 11:15:00+05:30,496.45001220703125,504.20001220703125,496.0,503.20001220703125,1259746,0.0,0.0,,92,,,8.20001220703125,7.4000244140625,-0.79998779296875,8.20001220703125,11.428575788225446,,,,,507.0,468.20001220703125,,,,False,False,,,False,False,False,False,,,,False
2026-04-06 12:15:00+05:30,503.0,504.8999938964844,501.5,504.3500061035156,1040088,0.0,0.0,Swing High,91,,,3.399993896484375,1.699981689453125,-1.70001220703125,3.399993896484375,10.328574044363839,,,,,507.0,468.20001220703125,False,False,False,False,False,,,False,False,False,False,,,,False
2026-04-06 13:15:00+05:30,504.3500061035156,504.5,500.04998779296875,501.8999938964844,752123,0.0,0.0,Swing Low,90,Sell Slope,4.850006103515625,4.45001220703125,0.149993896484375,-4.300018310546875,4.45001220703125,8.835719517299108,0.46957170299439416,,,,507.0,468.20001220703125,False,False,False,False,False,,,False,False,False,False,,,500.04998779296875,False
2026-04-06 14:15:00+05:30,501.95001220703125,508.0,501.95001220703125,503.5,1980387,0.0,0.0,Swing High,89,Buy Slope,4.45001220703125,6.04998779296875,6.100006103515625,0.050018310546875,6.100006103515625,8.335719517299108,0.503638916821516,,,,507.0,468.20001220703125,False,False,True,False,True,,0.7257907107374736,False,True,False,False,,,,False
2026-04-06 15:15:00+05:30,503.3999938964844,504.3500061035156,501.70001220703125,502.79998779296875,739235,0.0,0.0,,88,,,2.649993896484375,0.850006103515625,-1.79998779296875,2.649993896484375,8.078574044363839,,,,,507.0,468.20001220703125,,,,False,False,,,False,False,False,False,,,,False
2026-04-07 09:15:00+05:30,500.5,512.0,496.79998779296875,509.5,0,0.0,0.0,Swing High,87,,,15.20001220703125,9.20001220703125,-6.0,15.20001220703125,6.914289202008929,,Intermediate Swing High,,512.0,512.0,468.20001220703125,False,False,True,False,True,,2.1983477640210545,False,True,False,False,,,,False
2026-04-07 10:15:00+05:30,509.29998779296875,510.75,504.0,505.6000061035156,1371615,0.0,0.0,,86,,,6.75,1.25,-5.5,6.75,6.678575788225446,,,,,512.0,468.20001220703125,,,,False,False,,,False,False,False,False,,,,False
2026-04-07 11:15:00+05:30,505.54998779296875,508.70001220703125,505.3500061035156,507.6000061035156,662444,0.0,0.0,,85,,,3.350006103515625,3.100006103515625,-0.25,3.350006103515625,5.9857177734375,,,,,512.0,468.20001220703125,,,,False,False,,,False,False,False,False,,,,False
2026-04-07 12:15:00+05:30,507.8500061035156,508.3500061035156,506.0,506.8500061035156,322206,0.0,0.0,,84,,,2.350006103515625,0.75,-1.600006103515625,2.350006103515625,5.835719517299107,,,,,512.0,468.20001220703125,,,,False,False,,,False,False,False,False,,,,False
2026-04-07 13:15:00+05:30,506.8500061035156,508.79998779296875,506.1000061035156,506.8999938964844,449273,0.0,0.0,Swing High,83,,,2.699981689453125,1.949981689453125,-0.75,2.699981689453125,5.585715157645089,,,,,512.0,468.20001220703125,False,False,False,False,False,,,False,False,False,False,,,,False
2026-04-07 14:15:00+05:30,506.45001220703125,507.3500061035156,503.20001220703125,505.45001220703125,823979,0.0,0.0,,82,,,4.149993896484375,0.45001220703125,-3.699981689453125,4.149993896484375,5.307141985212054,,,,,512.0,468.20001220703125,,,,False,False,,,False,False,False,True,,0.7819639851445498,,False
