trade_idea_id,ticker,first_signal_time,latest_signal_time,signal_count,sweep_low_time,sweep_low_price,first_signal_price,latest_signal_price,latest_signal_high,bull_fvg_lower,bull_fvg_upper,range_50,fvg_50,entry_price,entry_source,entry_model_ready,stop_price,risk,target_1r,target_2r,target_3r,entry_filled,entry_time,entry_delay_candles,stop_hit,stop_time,target_1r_hit,target_1r_time,target_2r_hit,target_2r_time,target_3r_hit,target_3r_time,first_terminal_event,final_status,max_favorable_r,max_adverse_r,best_score,latest_score,best_meter_probability,latest_meter_probability,isl_sweep,protected_lows,bull_fvg_retest,range_quality,range_width_atr,range_age,target_highs,target_distance_atr,deeper_isl_pending,deeper_isl_atr,atr_ratio,fvg_atr,last_updated_at
PERSISTENT.NS_1775706300_99812ebabe42,PERSISTENT.NS,1775724300,1775724300,1,1775706300,5271.1001,5476.0,5476.0,5489.0,,,,,,,False,,,,,,,,,,,,,,,,,,entry_model_unavailable,,,0.6292,0.6292,0.34569020947853224,0.3457,False,0,False,27.3,8.961,12,0,,True,5.833,1.183,0.29,2026-05-13T09:46:06.264083+00:00
FEDERALBNK.NS_1775720700_a22187845e86,FEDERALBNK.NS,1775792700,1775792700,1,1775720700,281.6,287.6,287.6,288.9,276.35,284.3,285.25,280.325,285.25,range_50,True,281.6,3.65,288.9,292.55,296.2,True,1776051900,7,True,1776325500,True,1776062700,True,1776224700,True,1776656700,target_1r,target_1r,4.452,-2.233,0.1822,0.1822,0.16,0.16,False,0,True,43.3,10.55,20,0,,True,9.278,0.736,0.222,2026-05-13T09:46:06.264083+00:00
LTTS.NS_1775724300_6d40a1ebdff9,LTTS.NS,1775792700,1775792700,1,1775724300,3326.8999,3410.8,3410.8,3450.0,,,,,,,False,,,,,,,,,,,,,,,,,,entry_model_unavailable,,,0.0031,0.0031,0.12,0.12,False,0,False,50.0,6.394,35,0,,True,3.153,0.471,0.006,2026-05-13T09:46:06.264083+00:00
SHRIRAMFIN.NS_1775724300_80a69eb9eb57,SHRIRAMFIN.NS,1775792700,1775792700,1,1775724300,990.45,1024.4,1024.4,1031.0,931.75,1005.0,1010.725,968.375,1010.725,range_50,True,990.45,20.275,1031.0,1051.275,1071.55,True,1776051900,7,True,1776051900,True,1776224700,True,1776743100,,,stop,stop,2.531,-4.721,0.535,0.535,0.43333333333333335,0.4333,False,0,True,50.0,11.276,27,2,0.24,True,7.321,0.487,0.836,2026-05-13T09:46:06.264083+00:00
BAJAJFINSV.NS_1775724300_e737a371127f,BAJAJFINSV.NS,1775796300,1775796300,1,1775724300,1757.1,1803.7,1803.7,1808.8,1692.0,1776.0,1782.95,1734.0,1782.95,range_50,True,1757.1,25.85,1808.8,1834.65,1860.5,True,1776051900,6,True,1776051900,True,1776224700,True,1776224700,,,stop,stop,2.981,-2.485,0.1611,0.1611,0.16,0.16,False,0,True,35.3,8.102,16,0,,True,5.79,0.675,0.169,2026-05-13T09:46:06.264083+00:00
BAJFINANCE.NS_1775724300_687b3816b9db,BAJFINANCE.NS,1775796300,1775796300,1,1775724300,893.2,923.8,923.8,925.3,856.0,906.3,909.25,881.15,909.25,range_50,True,893.2,16.05,925.3,941.35,957.4,True,1776051900,6,True,1776051900,True,1776311100,True,1776753900,True,1777520700,stop,stop,4.9,-1.71,0.0503,0.0503,0.16,0.16,False,0,True,53.3,10.532,34,1,0.06,True,8.002,0.805,0.06,2026-05-13T09:46:06.264083+00:00
SBILIFE.NS_1775724300_bdff640d6167,SBILIFE.NS,1775799900,1775799900,1,1775724300,1881.1,1942.9,1942.9,1950.0,1845.4,1889.7,1915.55,1867.55,1915.55,range_50,True,1881.1,34.45,1950.0,1984.45,2018.9,True,1775814300,4,True,1776833100,True,1776224700,True,1776311100,,,target_1r,target_1r,2.181,-4.536,0.712,0.712,0.3428611771405932,0.3429,False,0,True,43.3,5.553,25,0,,True,6.705,0.957,0.397,2026-05-13T09:46:06.264083+00:00
HINDCOPPER.NS_1776051900_c5ecacae5db4,HINDCOPPER.NS,1776059100,1776059100,1,1776051900,512.5,531.45,531.45,534.2,505.45,526.6,523.35,516.025,523.35,range_50,True,512.5,10.85,534.2,545.05,555.9,False,,,,,,,,,,,,no_entry_yet,,,17.0016,17.0016,0.92,0.92,True,1,True,14.0,5.048,7,1,0.416,True,10.843,2.46,1.371,2026-05-13T09:46:06.264083+00:00
MGL.NS_1776051900_4cf43b616756,MGL.NS,1776059100,1776059100,1,1776051900,1040.0,1081.7,1081.7,1084.85,,,,,,,False,,,,,,,,,,,,,,,,,,entry_model_unavailable,,,5.0771,5.0771,0.92,0.92,False,0,False,46.7,10.415,26,1,0.367,True,6.255,1.617,0.87,2026-05-13T09:46:06.264083+00:00
SAIL.NS_1776051900_68335894b05d,SAIL.NS,1776059100,1776059100,1,1776051900,160.89,169.94,169.94,171.43,160.59,162.41,166.16,161.5,166.16,range_50,True,160.89,5.27,171.43,176.7,181.97,True,1776231900,7,,,True,1776329100,True,1776743100,True,1777261500,target_1r,target_1r,6.861,-0.009,1.0703,1.0703,0.8449080052493438,0.8449,True,1,True,46.7,8.521,21,0,,True,6.046,1.614,0.457,2026-05-13T09:46:06.264083+00:00
SRF.NS_1776051900_7dd10b77b2b2,SRF.NS,1776059100,1776059100,1,1776051900,2371.8999,2452.0,2452.0,2479.6001,,,,,,,False,,,,,,,,,,,,,,,,,,entry_model_unavailable,,,1.9977,1.9977,0.92,0.92,True,1,False,60.0,6.829,107,1,0.895,True,0.468,1.506,0.778,2026-05-13T09:46:06.264083+00:00
